"Year","Title","Artist","Emotion","Theme","Sadness (AI)","Joy (AI)","Fear (AI)","Disgust (AI)","Anger (AI)"
"2009","Boom Boom Pow","The Black Eyed Peas","Joy","Party","9.44","42.63","7.2","2.34","6.02"
"2010","Tik Tok","Kesha","Joy","Party","17.25","30.89","7.35","1.28","7.51"
"2011","Rolling in the Deep","Adele","Sadness","Ended love","36.13","6.18","2.84","0.85","3.25"
"2012","Somebody That I Used to Know","Gotye featuring Kimbra","Sadness","Ended love","35.72","5.79","2.72","0.59","1.91"
"2013","Thrift Shop","Macklemore & Ryan Lewis featuring Wanz","Joy","Life","10.71","31.98","9.76","8.07","10.34"
"2015","Uptown Funk","Mark Ronson featuring Bruno Mars","Joy","Party","25.65","43.11","8.87","2.57","4.63"
"2016","Love Yourself","Justin Bieber","Disgust","Ended love","17.09","33.66","4.11","0.81","10.39"
"2017","Shape of You","Ed Sheeran","Joy","Love","3.87","54.82","2.13","1.42","0.87"
"2018","God's Plan","Drake","Disgust","Life","12.81","19.05","3.81","1.64","4.6"
"2019","Old Town Road","Lil Nas X featuring Billy Ray Cyrus","Joy","Happiness","28.84","33.09","8.29","3.09","5.7"
"2020","Blinding Lights","The Weeknd","Sadness","Love","21.2","5.48","8.78","0.76","3.26"
"2021","Levitating","Dua Lipa","Joy","Love","8.73","67.77","2.66","0.39","1.6"
